Timestamp, X, Y, Z
2025-07-17 20:41:08, -0.026, 0.201, 0.979
2025-07-17 20:41:08, -0.026, 0.199, 0.977
2025-07-17 20:41:08, -0.025, 0.201, 0.979
2025-07-17 20:41:09, -0.026, 0.200, 0.979
2025-07-17 20:41:10, -0.026, 0.200, 0.979
2025-07-17 20:41:11, -0.025, 0.199, 0.978
2025-07-17 20:41:12, -0.026, 0.201, 0.978
2025-07-17 20:41:13, -0.026, 0.202, 0.978
2025-07-17 20:41:14, -0.026, 0.200, 0.979
2025-07-17 20:41:15, 0.521, -0.700, 0.876
2025-07-17 20:41:16, -0.578, -0.746, -0.266
2025-07-17 20:41:17, -0.858, 0.270, -0.467
2025-07-17 20:41:18, -0.298, -0.951, 0.122
2025-07-17 20:41:19, -0.950, -0.357, 0.024
2025-07-17 20:41:20, 0.089, -0.978, -0.074
2025-07-17 20:41:21, -0.388, -0.621, -0.494
2025-07-17 20:41:22, 0.152, -0.804, -0.458
2025-07-17 20:41:23, 0.063, -0.710, -0.685
2025-07-17 20:41:24, -0.213, -0.767, -0.912
2025-07-17 20:41:25, 0.614, -0.807, -0.250
2025-07-17 20:41:26, 0.243, -0.738, -0.051
2025-07-17 20:41:27, -0.406, 0.046, 0.866
2025-07-17 20:41:28, -0.464, 0.148, 0.862
2025-07-17 20:41:29, -0.467, 0.159, 0.854
2025-07-17 20:41:30, -0.463, 0.165, 0.856
2025-07-17 20:41:31, -0.469, 0.172, 0.853
2025-07-17 20:41:32, -0.468, 0.174, 0.856
2025-07-17 20:41:33, -0.469, 0.164, 0.844
2025-07-17 20:41:34, -0.469, 0.170, 0.849
2025-07-17 20:41:35, -0.469, 0.177, 0.851
2025-07-17 20:41:36, -0.466, 0.176, 0.849
2025-07-17 20:41:37, -0.469, 0.170, 0.841
2025-07-17 20:41:38, -0.468, 0.178, 0.853
2025-07-17 20:41:39, -0.468, 0.180, 0.851
2025-07-17 20:41:40, -0.468, 0.178, 0.850
2025-07-17 20:41:41, -0.467, 0.179, 0.850
2025-07-17 20:41:42, -0.467, 0.180, 0.850
2025-07-17 20:41:43, -0.466, 0.179, 0.850
2025-07-17 20:41:44, -0.468, 0.179, 0.850
2025-07-17 20:41:45, -0.466, 0.182, 0.860
2025-07-17 20:41:46, -0.471, 0.176, 0.843
2025-07-17 20:41:47, -0.469, 0.181, 0.850
